[Wed Apr 20 14:25:38.896598 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  13. YOOtheme\\Configuration\\Resolver->loadFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Configuration.php:109, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896604 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  14. YOOtheme\\Configuration\\Resolver->loadJsonFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:193, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896611 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  15. YOOtheme\\Configuration\\Resolver->writeCacheFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:257, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896616 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  16. file_put_contents() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:281, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897205 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP Warning:  file_put_contents(/home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/cache/temp-b87b9fbf625fedb2db058): failed to open stream: Permission denied in /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php on line 281, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897216 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP Stack trace:, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897223 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   1. {main}() /home/pc2/vhosts/solarcraft.local/wp-admin/admin-ajax.php:0, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897228 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   2. require_once() /home/pc2/vhosts/solarcraft.local/wp-admin/admin-ajax.php:22, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897234 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   3. require_once() /home/pc2/vhosts/solarcraft.local/wp-load.php:50, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897239 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   4. require_once() /home/pc2/vhosts/solarcraft.local/wp-config.php:176, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897251 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   5. do_action() /home/pc2/vhosts/solarcraft.local/wp-settings.php:565, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897257 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   6. WP_Hook->do_action() /home/pc2/vhosts/solarcraft.local/wp-includes/plugin.php:474, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897263 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   7. WP_Hook->apply_filters() /home/pc2/vhosts/solarcraft.local/wp-includes/class-wp-hook.php:331, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897270 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   8. YOOtheme\\Wordpress\\FilterLoader->YOOtheme\\Wordpress\\{closure:/home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/platform-wordpress/src/FilterLoader.php:23-31}() /home/pc2/vhosts/solarcraft.local/wp-includes/class-wp-hook.php:307, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897276 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   9. YOOtheme\\Application->call() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/platform-wordpress/src/FilterLoader.php:30, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897283 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  10. YOOtheme\\Theme\\Wordpress\\ThemeLoader::setupTheme() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/container/src/Container.php:268, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897290 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  11. YOOtheme\\Application::YOOtheme\\{closure:/home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/styler/bootstrap.php:10-12}() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/theme-wordpress/src/ThemeLoader.php:47, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897297 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  12. YOOtheme\\Configuration\\Configuration->loadFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/styler/bootstrap.php:11, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897304 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  13. YOOtheme\\Configuration\\Resolver->loadFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Configuration.php:109, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897310 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  14. YOOtheme\\Configuration\\Resolver->loadJsonFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:193, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897316 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  15. YOOtheme\\Configuration\\Resolver->writeCacheFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:257, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.897328 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  16. file_put_contents() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:281, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
